,Date,qo_lc,qt_lc,wc,GLIR
0,1/1/2022,224.58,444.44,0.49,750
1,1/12/2022,166.45,367.29,0.55,675
2,1/18/2022,165.28,350.98,0.53,653
3,1/20/2022,145.65,307.52,0.53,726
4,1/27/2022,149.65,315.2,0.53,756
5,3/9/2022,153.86,321.31,0.52,790
6,3/23/2022,154.19,319.45,0.52,847
7,4/12/2022,157.39,320.68,0.51,857
8,5/10/2022,152.47,316.53,0.52,884
9,5/17/2022,162.26,323.3,0.5,827
10,5/29/2022,156.26,316.55,0.51,796
11,5/31/2022,150.0,309.24,0.51,763
12,6/7/2022,143.09,290.83,0.51,835
13,6/13/2022,165.16,316.83,0.48,855
14,6/15/2022,174.96,329.04,0.47,856
15,6/17/2022,131.45,295.88,0.56,836
16,6/24/2022,134.62,298.86,0.55,999
17,6/26/2022,126.65,289.35,0.56,932
18,6/28/2022,123.4,286.42,0.57,868
19,7/4/2022,134.99,278.29,0.51,851
20,7/16/2022,189.54,352.17,0.46,551
21,7/20/2022,136.4,296.91,0.54,785
22,7/26/2022,132.41,295.67,0.55,783
